Date,Food CPI,Subsidy_Index,FAO Food Price Index,FAO Meat,FAO Dairy Index,FAO Cereals Index,FAO Oils Index,FAO Sugar Index
Jan-00,-5.34,0.737463002,52.8,60.6,50.2,52.1,48.58,34.7
Feb-00,-2.19,0.737463002,52.5,60.9,50.4,52.2,46.37,32.7
Mar-00,5.86,0.737463002,53.1,62.8,50.1,51.7,47.82,31.8
Apr-00,-1.2,0.737463002,53.7,62.3,50.4,51.8,49.5,37.3
May-00,-0.32,0.737463002,54,63.3,50.9,52.8,44.49,42.8
Jun-00,3.5,0.737463002,54.2,63,53.8,51.4,42.93,51.8
Jul-00,1.42,0.737463002,54.4,62.7,55.6,49.8,42.67,59.6
Aug-00,-0.79,0.737463002,53.5,60.3,56,48.6,41.7,64.6
Sep-00,-1.27,0.737463002,52.9,59.4,57.4,49.4,38.47,62.1
Oct-00,3,0.737463002,53.7,59.5,59.1,51.2,36.38,66.5
Nov-00,4.08,0.737463002,54.2,60.4,59.6,52.1,37.67,61.5
Dec-00,8.37,0.737463002,54.8,60.4,60.1,53.7,38.14,62
Jan-01,3.53,0.775570825,54.1,58.3,59.7,53.9,37.27,63.9
Feb-01,0.84,0.775570825,54.6,62,59.5,53,35.83,61.1
Mar-01,1.42,0.775570825,55.5,64.9,59.7,52.2,38.2,57.4
Apr-01,0.82,0.775570825,55,65.3,59.5,51,38.03,54.1
May-01,2.99,0.775570825,55.8,65.6,62,51.7,36.57,59.3
Jun-01,0,0.775570825,55.2,63.8,62.4,51,38.85,56
Jul-01,3.05,0.775570825,56.9,64.1,62.9,51.7,47.44,54.4
Aug-01,1.16,0.775570825,57,64.4,62.5,51.6,50.02,50.2
Sep-01,3.27,0.775570825,55.8,64.3,62.1,51.2,45.4,47.3
Oct-01,2.39,0.775570825,54.5,62.4,62.8,51,43.3,42
Nov-01,4.69,0.775570825,55.1,60.6,60.6,51.9,48.27,47.5
Dec-01,4.7,0.775570825,54.6,59.2,56.9,52,50.61,48.5
Jan-02,4.32,0.832732558,53.8,59.4,53,51.7,49.26,48.2
Feb-02,8.14,0.832732558,52,57.6,52.8,50.4,47.79,40.5
Mar-02,4.96,0.832732558,52.3,60.1,50.7,49.6,47.62,41.4
Apr-02,6.63,0.832732558,51.4,57.2,48.9,49.3,48.97,42.6
May-02,3.25,0.832732558,50.8,56.2,44.8,50.2,51.64,37.6
Jun-02,8.48,0.832732558,51.6,56.3,42.9,52,55.8,35.6
Jul-02,12.71,0.832732558,52.3,55.9,40.6,54.6,56.15,39.5
Aug-02,7.69,0.832732558,53.7,55.8,40.1,58.1,59.65,39
Sep-02,2.81,0.832732558,55.1,55.1,41.6,63.8,56.68,43.1
Oct-02,2.52,0.832732558,55.5,53.5,42.9,64.4,58.76,46.5
Nov-02,4.28,0.832732558,56.6,53.9,45.5,63,63.91,48.5
Dec-02,0.02,0.832732558,56,52.3,49.3,59.8,65.51,49.2
Jan-03,5.1,0.244624736,56.2,53.9,51.3,58,64.32,50.7
Feb-03,3.73,0.244624736,56.9,55.1,53.1,57.8,62.35,55.7
Mar-03,-1.34,0.244624736,55.9,55.7,53.7,56.5,59.23,50.9
Apr-03,-2.51,0.244624736,55.9,56.7,52.7,56.4,59.57,48
May-03,-2.63,0.244624736,56.7,57.4,52.6,58.2,61.09,44.4
Jun-03,-6.25,0.244624736,56.4,57.3,52.6,57.7,61.96,41.6
Jul-03,-10.71,0.244624736,57.1,61.5,53.2,56.5,58.84,42.3
Aug-03,-7.31,0.244624736,57.8,61.4,53.6,59.9,57.09,42.3
Sep-03,-2.31,0.244624736,59,63.7,55.2,60.5,59.33,37
Oct-03,0.51,0.244624736,60.6,63.6,57.6,60.6,67.39,36.9
Nov-03,-1.81,0.244624736,62,62.9,58.6,64.8,68.83,37.6
Dec-03,-2.15,0.244624736,62.9,62.5,59.7,65.7,71.56,38.9
Jan-04,-2.44,0.254151691,64.7,67.2,60.9,66.9,71.22,35.9
Feb-04,-2.34,0.254151691,65.5,65.1,64.3,67.5,76.06,36.2
Mar-04,-1.55,0.254151691,67.1,67.6,65.2,68.5,76.73,40
Apr-04,-1.8,0.254151691,67.7,67.5,65.8,70.2,76.45,40.7
May-04,-0.83,0.254151691,66.8,67,67.8,68.8,73.52,39.2
Jun-04,-0.23,0.254151691,66.4,69.9,70.7,66.4,66.06,42.9
